zip,state,CO2
01535,MA,728
01536,MA,728
01537,MA,728
01538,MA,728
01540,MA,728
01541,MA,728
01542,MA,728
01543,MA,728
01545,MA,728
01546,MA,728
01550,MA,728
01560,MA,728
01561,MA,728
01562,MA,728
01564,MA,728
01566,MA,728
01568,MA,728
01569,MA,728
01570,MA,728
01571,MA,728
01580,MA,728
01581,MA,728
01582,MA,728
01583,MA,728
01585,MA,728
01586,MA,728
01588,MA,728
01590,MA,728
01601,MA,728
01602,MA,728
01603,MA,728
01604,MA,728
01605,MA,728
01606,MA,728
01607,MA,728
01608,MA,728
01609,MA,728
01610,MA,728
01611,MA,728
01612,MA,728
01613,MA,728
01614,MA,728
01615,MA,728
01653,MA,728
01654,MA,728
01655,MA,728
01701,MA,728
01702,MA,728
01703,MA,728
01704,MA,728
01705,MA,728
01718,MA,728
01719,MA,728
01720,MA,728
01721,MA,728
01730,MA,728
01731,MA,728
01740,MA,728
01741,MA,728
01742,MA,728
01745,MA,728
01746,MA,728
01747,MA,728
01748,MA,728
01749,MA,728
01752,MA,728
01754,MA,728
01756,MA,728
01757,MA,728
01760,MA,728
01770,MA,728
01772,MA,728
01773,MA,728
01775,MA,728
01776,MA,728
01778,MA,728
01784,MA,728
01801,MA,728
01803,MA,728
01805,MA,728
01807,MA,728
01810,MA,728
01812,MA,728
01813,MA,728
01815,MA,728
01821,MA,728
01822,MA,728
01824,MA,728
01826,MA,728
01827,MA,728
01830,MA,728
01831,MA,728
01832,MA,728
01833,MA,728
01834,MA,728
01835,MA,728
01840,MA,728
01841,MA,728
01842,MA,728
01843,MA,728
01844,MA,728
01845,MA,728
01850,MA,728
01851,MA,728
01852,MA,728
01853,MA,728
01854,MA,728
01860,MA,728
01862,MA,728
01863,MA,728
01864,MA,728
01865,MA,728
01866,MA,728
01867,MA,728
01876,MA,728
01879,MA,728
01880,MA,728
01885,MA,728
01886,MA,728
01887,MA,728
01888,MA,728
01889,MA,728
01890,MA,728
01899,MA,728
01901,MA,728
01902,MA,728
01903,MA,728
01904,MA,728
01905,MA,728
01906,MA,728
01907,MA,728
01908,MA,728
01910,MA,728
01913,MA,728
01915,MA,728
01921,MA,728
01922,MA,728
01923,MA,728
01929,MA,728
01930,MA,728
01931,MA,728
01936,MA,728
01937,MA,728
01938,MA,728
01940,MA,728
01944,MA,728
01945,MA,728
01949,MA,728
01950,MA,728
01951,MA,728
01952,MA,728
01960,MA,728
01961,MA,728
01965,MA,728
01966,MA,728
01969,MA,728
01970,MA,728
01971,MA,728
01982,MA,728
01983,MA,728
01984,MA,728
01985,MA,728
02018,MA,728
02019,MA,728
02020,MA,728
02021,MA,728
02025,MA,728
02026,MA,728
02027,MA,728
02030,MA,728
02032,MA,728
02035,MA,728
02038,MA,728
02040,MA,728
02041,MA,728
02043,MA,728
02044,MA,728
02045,MA,728
02047,MA,728
02048,MA,728
02050,MA,728
02051,MA,728
02052,MA,728
02053,MA,728
02054,MA,728
02056,MA,728
02059,MA,728
02060,MA,728
02061,MA,728
02062,MA,728
02065,MA,728
02066,MA,728
02067,MA,728
02070,MA,728
02071,MA,728
02072,MA,728
02081,MA,728
02090,MA,728
02093,MA,728
02108,MA,728
02109,MA,728
02110,MA,728
02111,MA,728
02112,MA,728
02113,MA,728
02114,MA,728
02115,MA,728
02116,MA,728
02117,MA,728
02118,MA,728
02119,MA,728
02120,MA,728
02121,MA,728
02122,MA,728
02123,MA,728
02124,MA,728
02125,MA,728
02126,MA,728
02127,MA,728
02128,MA,728
02129,MA,728
02130,MA,728
02131,MA,728
02132,MA,728
02133,MA,728
02134,MA,728
02135,MA,728
02136,MA,728
02137,MA,728
02138,MA,728
02139,MA,728
02140,MA,728
02141,MA,728
02142,MA,728
02143,MA,728
02144,MA,728
02145,MA,728
02148,MA,728
02149,MA,728
02150,MA,728
02151,MA,728
